,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
ABS,6.462348535570529e-27,-0.0,-0.0,2.7755575615628914e-17,6.938893903907228e-18,0.0,0.0,6.938893903907228e-17,-3.3306690738754696e-16,1.491862189340054e-16,5.551115123125783e-17,1.3877787807814457e-16,-2.7755575615628914e-16,1.1102230246251565e-16
Airbag_1,-4.0389678347315804e-28,-1.0587911840678754e-22,-0.0,0.0,3.469446951953614e-18,0.0,0.0,2.7755575615628914e-17,1.0408340855860843e-16,-5.551115123125783e-17,-5.551115123125783e-17,-8.326672684688674e-17,1.6653345369377348e-16,5.551115123125783e-17
Airbag_2,0.2166687830280265,-0.31864359797182074,0.22578962189392973,-0.06708747327820198,0.3949445855789931,-0.048297652909454154,-0.021998841854237693,-0.019593424327613535,0.3444404326762645,0.3125414675793332,0.048502649895196925,-0.3776196022266783,-0.36122809506391296,-0.35315202486397934
Airco,0.381452564263522,0.16747449011528429,-0.006952754357947054,-0.056852478867006506,-0.04514959182368752,0.0213986139998137,0.0024493417608576653,-0.000667077114306997,0.12170914441497417,0.19880288513044822,0.5422656651047422,0.6102459532074249,-0.20572622473051122,-0.05805132906817991
Automatic_airco,0.0,4.1359030627651384e-25,1.9852334701272664e-23,-3.2526065174565133e-19,-2.710505431213761e-19,-5.204170427930421e-18,-1.3877787807814457e-17,3.469446951953614e-17,-1.6653345369377348e-16,5.551115123125783e-17,5.551115123125783e-17,8.326672684688674e-17,-1.6653345369377348e-16,-2.220446049250313e-16
Boardcomputer,0.3230402541676221,-0.35340856348348176,0.08992883555444445,0.05874673356961244,-0.21729749057709266,-0.02431832658763293,-0.21758094432920325,-0.11613368406403242,0.023378561114237157,0.010485621851216658,0.22109680921420358,-0.2951043156676751,0.28132725458610536,0.4916874579917563
CD_Player,0.0,-2.466193759887103e-24,-1.1386658119675272e-22,1.9608812728937053e-18,1.207021949837378e-18,3.0005295123536335e-17,8.803721640582296e-17,-1.2815269678778662e-16,6.47051856539349e-16,-1.960237527853792e-16,-2.220446049250313e-16,-1.1102230246251565e-16,4.718447854656915e-16,4.718447854656915e-16
Central_Lock,0.3758946448979274,0.32195395525370823,-0.18347314191367775,-0.14269620800877053,0.035436794297490956,0.11679265271905194,-0.10011452723779861,-0.04171584246275058,-0.10002639670228317,-0.29901807613643616,-0.029712227571554742,-0.24010045977482986,-0.08228353627036968,-0.08952791344812391
Powered_Windows,0.3774236900492739,0.3058373784780781,-0.21093659200686518,-0.1455547957381944,0.03854039010904998,0.12079930525945771,-0.09224143088713946,-0.039949544711121894,-0.07299430231388437,-0.28801416072381847,-0.005887229206478202,-0.2542061540769278,-0.09227032534105829,-0.10647610405920378
Power_Steering,0.0,-6.108051627486699e-25,-2.820119733973278e-23,4.856227611354928e-19,2.990252202843595e-19,7.435548967288358e-18,2.1796893760899077e-17,-3.1723229936651664e-17,1.603792138087562e-16,-4.853301630622706e-17,-6.958182849802973e-17,-7.848474474360557e-18,1.082870193455854e-16,1.093524913769743e-16
Radio,0.0,-1.0785851852168194e-24,-4.979884832526818e-23,8.575328888966054e-19,5.28031182895577e-19,1.3130001920712961e-17,3.848986244394971e-17,-5.601820011298465e-17,2.8320429259702054e-16,-8.570162070375657e-17,-1.2287048956911552e-16,-1.3859162971876958e-17,1.912177269292239e-16,1.9309918179962421e-16
Mistlamps,0.29876663963493744,0.2262104609419888,-0.09396885959868972,-0.2180202349907381,0.22814137743688606,-0.15870228295499889,-0.043739560477032896,0.2083522248651541,0.3374994760950809,0.346633388878378,-0.36641097688024543,0.14334462669160622,0.46773911906722004,0.19450902435119707
Sport_Model,0.06016859629627902,-0.19535101595674165,0.09112510996624172,-0.2627804906837589,0.5864657754861349,0.0910215117984852,0.36745176357482434,-0.38259731002796243,-0.2906243900043769,-0.19632178858321875,0.057434411581700505,0.19495991039081903,0.10078148228085068,0.22426662103357872
Backseat_Divider,0.0,4.7238599859139274e-24,2.18103113386489e-22,-3.755721250379997e-18,-2.3126086009551465e-18,-5.750523142570397e-17,-1.6857335290189005e-16,2.453418956829566e-16,-1.2403447070981194e-15,3.753458348207017e-16,5.381336560899655e-16,6.069872486515652e-17,-8.374728127355081e-16,-8.457129865292908e-16
Metallic_Rim,0.0,8.246651816540974e-24,3.807522749542187e-22,-6.556529102095212e-18,-4.037223367518017e-18,-1.0038943207704789e-16,-2.9428597610304017e-16,4.2830422487977726e-16,-2.1653247476488736e-15,6.552578653442815e-16,9.394437823663749e-16,1.0596445516242788e-16,-1.4620134197548154e-15,-1.4763986564865868e-15
Radio_cassette,0.0,-1.0683810733161839e-24,-4.932771908318462e-23,8.494200743718861e-19,5.230356671485211e-19,1.3005783629296715e-17,3.81257235063848e-17,-5.548823178942554e-17,2.805249972274861e-16,-8.489082806566627e-17,-1.2170805544519702e-16,-1.3728046346363744e-17,1.894086838330325e-16,1.9127233892619073e-16
Tow_Bar,-0.05385943067687288,0.1974605332139133,0.005307231179699057,0.5469816970144742,0.13687979484220372,0.1331084563336473,-0.05056342811636904,-0.5130602730416535,0.5257628517844214,-0.20826299104634066,0.028488601820353336,0.04941626102931191,0.17072621632975166,-0.03198348992986609
Fuel_Type_Diesel,-0.0010074774311601188,0.03906467966517603,0.18865665948840332,-0.03585161306570205,-0.04305749643610313,0.03540653786582256,-0.07348109671217604,0.00750718829365104,-0.05176996376158389,-0.03602896254433291,0.0071483737039648235,0.0434615725204647,0.087321533450372,-0.09929720024958007
Fuel_Type_Petrol,0.0005010997867363696,-0.04624687679831808,-0.1994919818229538,0.02811853310795212,0.045228660143185405,-0.0337718400182016,0.07384469818472442,-0.010990300326033398,0.051918759323460094,0.03546048587276327,-0.010216045758910757,-0.034197299517141636,-0.07928081788201445,0.08258713172730964
Doors_3,-0.0425976994851193,-0.041324533795715664,-0.03766366105236882,-0.11629635247486315,0.06573039085515449,0.011981114423083356,0.049761132435501725,-0.02854031437554167,-0.043549796077321574,0.012095556509509038,0.18292191447004544,-0.10789966876685425,0.4506762817147646,-0.3045366197951765
Doors_4,-0.014745253222633217,0.006774891457450278,-0.010108340110284305,0.04045002100709996,-0.020465933145941993,-0.003724340049359589,-0.0007103990208325141,0.031752292876861266,0.005251378522198834,0.0278165505765239,0.05347893236317897,-0.03167617202079756,-0.03263585948848042,-0.08674212997651408
Doors_5,0.05865872760754881,0.03431624094617919,0.04672037280470315,0.07609421936036333,-0.04435448607618902,-0.009446436778224203,-0.048165202415691395,-0.0032207001619894912,0.0369437127609257,-0.0403276559768805,-0.23639768533016856,0.13952840396726837,-0.4191750772664691,0.3913946971049856
